,Date,LocationStart,LocationEnd,Distance,TimeStart,TimeEnd,MPH
0,2018-05-01,8528 Foxborough,PC,10.8,07:46,08:32,14.02
1,2018-04-30,PC,8528 Foxborough,10.8,17:44,18:35,12.65
2,2018-04-18,8528 Foxborough,Savage Library,1.5,,,
3,2018-04-18,Savage Library,8528 Foxborough,1.5,,,
4,2018-04-13,8528 Foxborough,PC,10.8,08:16,09:03,13.72
5,2018-04-12,8528 Foxborough,PC,10.8,08:10,08:55,14.33
6,2018-04-12,PC,8528 Foxborough,10.8,17:28,18:18,12.9
7,2018-04-11,PC,8528 Foxborough,10.8,,,
8,2018-04-11,8528 Foxborough,Savage Library,1.5,,,
9,2018-04-11,Savage Library,8528 Foxborough,1.5,,,
10,2018-04-06,8528 Foxborough,Route 108,10.5,,,
11,2018-04-06,Route 108,Lake Kitt,6.5,,,
12,2018-04-06,Lake Kitt,8528 Foxborough,12.3,,,
13,2018-04-02,8528 Foxborough,Savage Library,1.5,,,
14,2018-04-02,Savage Library,8528 Foxborough,1.5,,,
15,2018-03-31,8528 Foxborough,Sportclips,8.3,,,
16,2018-03-31,Sportclips,Lake Kitt (loop included),6.8,,,
17,2018-03-31,Stevens Forest,8528 Foxborough,9.7,,,
18,2018-03-29,8528 Foxborough,Tamar Dr,8.3,,,
19,2018-03-29,Tamar Dr,8528 Foxborough,7.7,,,
20,2018-03-25,8528 Foxborough,Savage Library,1.5,,,
21,2018-03-25,Savage Library,8528 Foxborough,1.5,,,
22,2018-03-16,8528 Foxborough,Savage Library,1.5,,,
23,2018-03-16,Savage Library,8528 Foxborough,1.5,,,
24,2018-02-15,8528 Foxborough,Ridgeville,5.9,,,
25,2018-02-15,Jiffy Lube,Andorick,3.4,,,
26,2017-10-28,8528 Foxborough,Linth,14.1,11:36,12:40,13.21
27,2017-10-28,Woodberry,3830,6.3,13:40,14:10,12.55
28,2017-10-28,3830,2020,5.4,15:05,15:25,16.27
29,2017-10-28,2020,Woodberry,0.9,15:38,15:44,9.18
30,2017-10-28,BWI,8528 Foxborough,12.5,16:36,17:36,12.53
31,2017-10-27,8528 Foxborough,PC,10.8,09:38,10:22,14.66
32,2017-10-27,PC,8528 Foxborough,10.8,16:15,17:00,14.33
33,2017-10-27,8528 Foxborough,Savage Library,1.5,,,
34,2017-10-27,Savage Library,8528 Foxborough,1.5,,,
35,2017-10-25,8528 Foxborough,PC,10.8,08:20,09:04,14.66
36,2017-10-24,PC,8528 Foxborough,10.8,17:20,18:02,15.36
37,2017-10-20,8528 Foxborough,PC,10.8,08:24,09:09,14.33
38,2017-10-19,PC,8528 Foxborough,10.8,16:33,17:19,14.02
39,2017-10-18,8528 Foxborough,PC,10.8,08:09,08:58,13.16
40,2017-10-17,PC,8528 Foxborough,10.8,17:17,18:07,12.9
41,2017-10-14,8528 Foxborough,Savage Library,1.5,,,
42,2017-10-14,Savage Library,8528 Foxborough,1.5,,,
43,2017-10-13,8528 Foxborough,PC,10.8,08:43,09:29,14.02
44,2017-10-13,PC,8528 Foxborough,7.5,18:01,18:30,15.52
45,2017-10-10,PC,8528 Foxborough,10.8,07:59,08:47,13.44
46,2017-10-10,8528 Foxborough,PC,10.8,17:33,18:17,14.66
47,2017-10-04,8528 Foxborough,PC,10.8,08:11,08:58,13.72
48,2017-10-03,PC,8528 Foxborough,10.8,17:09,17:51,15.36
49,2017-09-29,8528 Foxborough,Savage Library,1.5,,,
50,2017-09-29,Savage Library,8528 Foxborough,1.5,,,
51,2017-09-29,8528 Foxborough,8528 Foxborough,12.5,,,
